"cd","twoway18","twoway16","fund_diff","open_seat","IE_diff","rscandal_ai","dscandal_ai","total_funding","r_incumbent_running","d_incumbent_running","nnu","m4a_total_tone_weight","dchallengerwoman_ai","dchallengerpersonofcolor_ai","dchallengermiliarybackground_ai","d_ideo"
"FL01",33,29,-3.07418131492076,0,0,0,0,14.1587131448809,"Yes","No",0,NA,1,0,0,-1.53816069
"FL02",33,32,-1.66614753430365,0,0,0,0,14.3045110794496,"Yes","No",1,-0.774613182882776,0,0,0,-1.276141811
"FL03",42,42,-2.97891162091288,0,0,0,0,13.7919806072206,"Yes","No",1,0.563802466654874,1,0,0,-2.09714474
"FL04",33,35,-2.02649898298285,0,0,0,0,13.8022289262849,"Yes","No",0,0,0,0,0,-1.541193328
"FL05",67,63,2.8179356722492,0,0,0,0,13.4865852495047,"No","Yes",1,0,0,0,0,-1.83587696
"FL06",44,41,0.388839268077494,1,13.1222273681555,0,0,15.5093795596403,"No","No",0,1.67813810916283,1,0,0,-1.79633613
"FL07",58,54,1.04359069221188,0,13.5914278157483,0,0,15.2897139665887,"No","Yes",0,1.74037253326007,0,0,0,-1.85050799
"FL08",40,40,-1.00961899770544,0,0,0,0,14.0509329745147,"Yes","No",1,0.415485861518473,0,0,0,-2.06194423
"FL09",58,57,3.051116303199,0,0,0,0,14.2748866267136,"No","Yes",1,0.857597049696409,0,0,0,-1.763677
"FL11",35,34,-1.93018053920681,0,0,0,0,13.4462307338289,"Yes","No",1,0.455855423991945,1,0,0,-1.166671421
"FL12",41,41,-0.955529182795968,0,0,0,0,14.8470915999009,"Yes","No",0,0,0,0,0,-1.443662862
"FL13",58,52,4.37011464843842,0,0,0,0,15.0405988274375,"No","Yes",0,0.0603948346043509,0,0,0,-1.76447004
"FL15",47,45,0.812445058512595,1,-0.921119196614841,0,0,14.9289077854435,"No","No",0,0.426794308739811,1,0,0,-1.288756417
"FL16",45,44,-0.133199471996442,0,11.8938587808891,0,0,15.5400940042361,"Yes","No",0,-0.322094074355733,0,0,0,-1.73811048
"FL17",38,36,-3.43726124191727,1,0,0,0,13.718307523841,"No","No",0,0,0,0,0,-1.671786403
"FL18",46,45,-0.284882914631453,0,0.0664933834833867,0,0,16.1879344566753,"Yes","No",0,0.165149410446853,1,0,0,-2.40741035
"FL19",38,39,-0.788920187797079,0,0,0,0,14.4284144011426,"Yes","No",0,-1.13305376500286,0,0,0,-1.4713603
"FL22",62,58,1.86197717959742,0,0,0,0,14.2268868803689,"No","Yes",1,0,0,0,0,-2.01668655
"FL23",62,63,2.77083032358181,0,0,0,0,14.6799616019946,"No","Yes",0,-0.693147180559945,0,0,0,-2.55337694
"FL25",40,49,-0.0432241642002784,0,10.3848328709796,0,0,15.3182778480365,"Yes","No",1,-0.566960417795605,1,0,0,-1.80194504
"FL26",51,58,-0.106557061250827,0,0.244327551239424,0,0,16.1013875253691,"Yes","No",0,0.924938725980157,1,0,0,-1.92747601
"FL27",53,60,0.771868259676537,1,-0.057216526573173,0,0,15.6944306744295,"No","No",0,0.807833716228022,1,0,0,-2.06072617
"GA01",42,42,-2.23420191846908,0,0,0,0,14.6558639555756,"Yes","No",1,0,1,0,0,-2.25099472
"GA02",60,56,3.90480241893257,0,0,0,0,13.9481931266897,"No","Yes",1,NA,0,0,0,-1.86199413
"GA03",35,34,-3.11904553235807,0,0,0,0,14.0890817206706,"Yes","No",0,NA,0,0,1,-0.36570238889829
"GA04",79,77,1.77766535265846,0,0,0,0,13.2436525438389,"No","Yes",1,NA,0,0,0,-1.92746016
"GA06",50,49,-1.17694293602017,0,-2.4332246797967,0,0,16.2558549702914,"Yes","No",0,1.44310685076687,1,1,0,-2.24485373
"GA07",50,47,0.86593623599996,0,0,0,0,15.2461277242099,"Yes","No",0,0.405914443238824,1,0,0,-1.432215148
"GA09",21,20,-2.6397075699036,0,0,0,0,14.2316864535797,"Yes","No",1,NA,0,0,0,0.0390049740359
"GA10",37,37,-3.28719300026191,0,0,0,0,13.4413863283047,"Yes","No",1,NA,1,0,0,-2.05221591
"GA11",38,37,-2.82835045888443,0,0,0,0,13.7092909622917,"Yes","No",1,NA,0,1,1,-1.009706532
"GA12",41,42,-1.38203838704819,0,0,0,0,14.1569554319343,"Yes","No",0,NA,0,1,0,-1.179514881
"GA13",76,72,4.1232473340254,0,0,0,1,13.9280593678189,"No","Yes",0,NA,0,0,0,-1.66620083
"GA14",24,23,-5.09764774721247,0,0,0,1,14.5559281627594,"Yes","No",1,NA,0,0,0,0.215266297272
"HI01",76,67,1.27927480626418,1,0,0,0,13.4880187146321,"No","No",0,-0.114596817962906,0,0,0,-0.6253744768
"HI02",77,67,NA,0,0,0,0,NA,"No","Yes",1,-0.582973662273277,0,0,0,-1.54198339
"IA01",53,48,0.491493324792072,0,-0.0204014833814945,1,0,15.8192497610095,"Yes","No",0,0.239213576235862,1,0,0,-2.33462884
